search_time	search_id	listing_type	property_type	search_location	search_price_min	search_price_max	platform	user_id
2018-07-01 9:55:47	599	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:55:52	600	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:56:16	601	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11	1000000	1800000	web	u225
2018-07-01 9:58:17	602	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:58:50	603	sale	condo	dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict10,dtdistrict21		800000	web	u80
2018-07-01 9:59:15	604	sale	condo	dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict10,dtdistrict21		800000	web	u80
2018-07-01 9:59:51	605	sale	condo	dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict10,dtdistrict21		800000	web	u80
2018-07-01 10:00:18	606	sale	condo	dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict10,dtdistrict21		800000	web	u80
2018-07-01 10:00:45	607	sale	condo	dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict10,dtdistrict21		800000	web	u80
2018-07-01 10:01:10	608	sale	condo	dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict10,dtdistrict21		800000	web	u80
2018-07-01 10:01:37	609	sale	condo	dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict10,dtdistrict21		800000	web	u80
2018-07-01 10:20:58	610	rent		dtdistrict03	500		web	u1860
2018-07-01 10:21:02	611	rent		dtdistrict03	500	1000	web	u1860
2018-07-01 10:21:26	612	rent		dtdistrict10		2000	web	u830
2018-07-01 10:21:31	613	rent		dtdistrict10		1500	web	u830
2018-07-01 10:22:41	614	rent		dtdistrict03	500	1500	web	u1860
2018-07-01 10:23:09	615	rent		dtdistrict10		1500	web	u830
2018-07-01 10:23:31	616	rent	condo	dtdistrict10		1500	web	u830
2018-07-01 10:25:36	617	rent	condo	dtdistrict19	2000	3000	web	u716
2018-07-01 10:26:38	618	rent	condo	dtdistrict19	2000	3000	web	u716
